,,,,,,,metric_mrr,metric_mrr,metric_mrr,metric_hits10,metric_hits10,metric_hits10,metric_hits20,metric_hits20,metric_hits20,metric_hits50,metric_hits50,metric_hits50,metric_hits100,metric_hits100,metric_hits100,metric_mean_positive_rank,metric_mean_positive_rank,metric_mean_positive_rank,metric_auc,metric_auc,metric_auc,metric_ap,metric_ap,metric_ap,metric_macro_mrr,metric_macro_mrr,metric_macro_mrr,metric_worst_group_mrr,metric_worst_group_mrr,metric_worst_group_mrr,metric_group_gap,metric_group_gap,metric_group_gap
,,,,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
dataset,model,ablation,protocol_train,protocol_eval,cn_feature_mode,interaction_mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citeseer,dcdlp,A14,degree_corrected,heart,legacy_unknown,legacy_unknown,0.6062951637059418,,1,0.9164835164835164,,1,1.0,,1,1.0,,1,1.0,,1,3.78021978021978,,1,0.8623383649317716,,1,0.49805851948024343,,1,0.6205420065800582,,1,0.21213619623970953,,1,0.7248508701918013,,1
citeseer,dcdlp,A14,mix,heart,legacy_unknown,legacy_unknown,0.7316671820243249,,1,0.9868131868131869,,1,1.0,,1,1.0,,1,1.0,,1,2.169230769230769,,1,0.9399973433160246,,1,0.6039475612547716,,1,0.747826846289743,,1,0.5374258109040718,,1,0.4354136952687675,,1
citeseer,dcdlp,A14,uniform,heart,legacy_unknown,legacy_unknown,0.7230310931739418,0.04472590623845457,2,0.9802197802197803,0.009324485026635798,2,0.9989010989010989,0.0015540808377726264,2,1.0,0.0,2,1.0,0.0,2,2.3714285714285714,0.2828427124746193,2,0.9303171114599686,0.018475117933177847,2,0.592163157519395,0.0380869541934831,2,0.754947971843436,0.0655787337270834,2,0.4723595688421689,0.10754170739147656,2,0.4943702291376291,0.10745242623223578,2
cora,dcdlp,A1,degree_corrected,heart,legacy_unknown,legacy_unknown,0.16382342244137582,,1,0.3738140417457306,,1,0.920303605313093,,1,1.0,,1,1.0,,1,12.107210626185958,,1,0.447837550273828,,1,0.06181771767577017,,1,0.1781070222472621,,1,0.0713206797114873,,1,0.25025057191731354,,1
cora,dcdlp,A14,degree_corrected,heart,legacy_unknown,legacy_unknown,0.6310203157072667,0.04293045405272753,10,0.910056925996205,0.08624074454127202,10,0.994876660341556,0.007953056449841792,10,1.0,0.0,10,1.0,0.0,10,3.6664136622390893,1.1287814581729732,10,0.8673296810919998,0.05666662199021047,10,0.4821960164890354,0.04514769365970352,10,0.6251843146847167,0.04532668285952203,10,0.26290609193834485,0.08256157025118067,10,0.6664491144661163,0.07641068791402451,10
cora,dcdlp,A14,mix,heart,legacy_unknown,legacy_unknown,0.6864854483905599,0.040559882758710815,10,0.9457305502846299,0.05232820305619756,10,0.998481973434535,0.0021542550747535123,10,1.0,0.0,10,1.0,0.0,10,2.899810246679317,0.7857375213990135,10,0.9044654681362048,0.039370791700095345,10,0.5379851087892648,0.03620888945844283,10,0.6794575652518269,0.04236307039117367,10,0.41709325753619525,0.10944619942706774,10,0.5362886529644078,0.10249409828527109,10
cora,dcdlp,A14,uniform,heart,legacy_unknown,legacy_unknown,0.7103104667532529,0.03253087880564889,10,0.9565464895635675,0.025480855804242506,10,0.9988614800759013,0.0018331912392396683,10,1.0,0.0,10,1.0,0.0,10,2.684250474383302,0.5135329283908054,10,0.9163592026759899,0.025025021808013217,10,0.574232625418637,0.031201109212277124,10,0.6997607675557571,0.03780158063279151,10,0.3690456634691531,0.08517729292271303,10,0.6009485172533391,0.08768195646867018,10
smoke,dcdlp,A14,uniform,standard,legacy_unknown,legacy_unknown,0.13706937913594258,0.0668536350279375,4,0.41666666666666663,0.10638078975070427,4,0.9166666666666666,0.05555555555555559,4,1.0,0.0,4,1.0,0.0,4,11.916666666666668,1.8556442649010303,4,0.458179012345679,0.08322638313032682,4,0.05581319892119672,0.022102092988900885,4,0.13355539288927445,0.0684840891834278,4,0.07907559148367972,0.031149919422538,4,0.1303663511625973,0.12305887690406071,4
