status,result_json,reason,model_label,dataset,seed,protocol_train,protocol_eval,ablation,config_hash,checkpoint
INVALID,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\logs\smoke_protocol_audit.json,Unexpected UTF-8 BOM (decode using utf-8-sig): line 1 column 1 (char 0),,,,,,,,
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\citeseer_degree_corrected_seed0_3f6271817264.json,,OUT_OF_SCOPE,citeseer,0.0,degree_corrected,heart,A14,3f6271817264,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\citeseer_degree_corrected_seed0_3f6271817264.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\citeseer_mix_seed0_fc47b524c078.json,,OUT_OF_SCOPE,citeseer,0.0,mix,heart,A14,fc47b524c078,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\citeseer_mix_seed0_fc47b524c078.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\citeseer_uniform_seed0_9d6df67f353c.json,,OUT_OF_SCOPE,citeseer,0.0,uniform,heart,A14,9d6df67f353c,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\citeseer_uniform_seed0_9d6df67f353c.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\citeseer_uniform_seed1_c4a1d18bff3a.json,,OUT_OF_SCOPE,citeseer,1.0,uniform,heart,A14,c4a1d18bff3a,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\citeseer_uniform_seed1_c4a1d18bff3a.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed0_1000c8900ae1.json,,OUT_OF_SCOPE,cora,0.0,degree_corrected,heart,A14,1000c8900ae1,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed0_1000c8900ae1.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed1_336b1bdfff8f.json,,OUT_OF_SCOPE,cora,1.0,degree_corrected,heart,A1,336b1bdfff8f,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed1_336b1bdfff8f.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed1_a8063e662051.json,,OUT_OF_SCOPE,cora,1.0,degree_corrected,heart,A14,a8063e662051,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed1_a8063e662051.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed2_6147faf6361b.json,,OUT_OF_SCOPE,cora,2.0,degree_corrected,heart,A14,6147faf6361b,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed2_6147faf6361b.pt
AVAILABLE,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed3_53378c43e202.json,,OUT_OF_SCOPE,cora,3.0,degree_corrected,heart,A14,53378c43e202,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed3_53378c43e202.pt
