probe,role,representation,target,probe_seed,architecture,hyperparameter_candidates,selected_hyperparameter,validation_metric,train_count,valid_count,test_count,r2,mae,spearman
z_cn_to_degree,cross_leakage,z_cn,degree,0,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,1.0,1.0710080914467877,512,263,512,0.13905626644114377,1.0059233400529575,0.3796326793797251
z_residual_to_degree,cross_leakage,z_residual,degree,0,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,100.0,1.7081702860436367,512,263,512,0.1537220264555036,0.9727784650618412,0.37709091141143025
z_degree_to_cn_residual,cross_leakage,z_degree,cn_residual,0,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.36914484091737526,512,263,512,-0.09628842501594703,0.3492017220853361,-0.048856772025617785
z_degree_to_degree,target_retention,z_degree,degree,0,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.6376295980626921,512,263,512,0.8793728643836551,0.4202441664496273,0.9902173041655824
z_cn_to_cn_residual,target_retention,z_cn,cn_residual,0,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.1,0.18166693512218382,512,263,512,0.7334717851739401,0.16753230381482723,0.8208713938288986
z_cn_to_degree,cross_leakage,z_cn,degree,1,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,1.0,1.0710080914467877,512,263,512,0.13905626644114377,1.0059233400529575,0.3796326793797251
z_residual_to_degree,cross_leakage,z_residual,degree,1,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,100.0,1.7081702860436367,512,263,512,0.1537220264555036,0.9727784650618412,0.37709091141143025
z_degree_to_cn_residual,cross_leakage,z_degree,cn_residual,1,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.36914484091737526,512,263,512,-0.09628842501594703,0.3492017220853361,-0.048856772025617785
z_degree_to_degree,target_retention,z_degree,degree,1,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.6376295980626921,512,263,512,0.8793728643836551,0.4202441664496273,0.9902173041655824
z_cn_to_cn_residual,target_retention,z_cn,cn_residual,1,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.1,0.18166693512218382,512,263,512,0.7334717851739401,0.16753230381482723,0.8208713938288986
z_cn_to_degree,cross_leakage,z_cn,degree,2,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,1.0,1.0710080914467877,512,263,512,0.13905626644114377,1.0059233400529575,0.3796326793797251
z_residual_to_degree,cross_leakage,z_residual,degree,2,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,100.0,1.7081702860436367,512,263,512,0.1537220264555036,0.9727784650618412,0.37709091141143025
z_degree_to_cn_residual,cross_leakage,z_degree,cn_residual,2,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.36914484091737526,512,263,512,-0.09628842501594703,0.3492017220853361,-0.048856772025617785
z_degree_to_degree,target_retention,z_degree,degree,2,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.6376295980626921,512,263,512,0.8793728643836551,0.4202441664496273,0.9902173041655824
z_cn_to_cn_residual,target_retention,z_cn,cn_residual,2,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.1,0.18166693512218382,512,263,512,0.7334717851739401,0.16753230381482723,0.8208713938288986
