probe,role,representation,target,probe_seed,architecture,hyperparameter_candidates,selected_hyperparameter,validation_metric,train_count,valid_count,test_count,r2,mae,spearman
z_cn_to_degree,cross_leakage,z_cn,degree,0,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.960279624583442,512,263,512,0.4071736429047722,0.8419016814047827,0.7038680749433932
z_residual_to_degree,cross_leakage,z_residual,degree,0,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,100.0,1.255838724009511,512,263,512,0.1812099630623717,0.9644327767171846,0.4535419767392494
z_degree_to_cn_residual,cross_leakage,z_degree,cn_residual,0,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.3635706748858388,512,263,512,-0.07013231047242319,0.3440844926957285,0.02750797280798776
z_degree_to_degree,target_retention,z_degree,degree,0,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.1,0.6375753038971426,512,263,512,0.8797156084852977,0.42089946807230527,0.9919978215532912
z_cn_to_cn_residual,target_retention,z_cn,cn_residual,0,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.1,0.11477099608679582,512,263,512,0.90125751948704,0.08657884132376084,0.9658879109605719
z_cn_to_degree,cross_leakage,z_cn,degree,1,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.960279624583442,512,263,512,0.4071736429047722,0.8419016814047827,0.7038680749433932
z_residual_to_degree,cross_leakage,z_residual,degree,1,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,100.0,1.255838724009511,512,263,512,0.1812099630623717,0.9644327767171846,0.4535419767392494
z_degree_to_cn_residual,cross_leakage,z_degree,cn_residual,1,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.3635706748858388,512,263,512,-0.07013231047242319,0.3440844926957285,0.02750797280798776
z_degree_to_degree,target_retention,z_degree,degree,1,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.1,0.6375753038971426,512,263,512,0.8797156084852977,0.42089946807230527,0.9919978215532912
z_cn_to_cn_residual,target_retention,z_cn,cn_residual,1,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.1,0.11477099608679582,512,263,512,0.90125751948704,0.08657884132376084,0.9658879109605719
z_cn_to_degree,cross_leakage,z_cn,degree,2,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.960279624583442,512,263,512,0.4071736429047722,0.8419016814047827,0.7038680749433932
z_residual_to_degree,cross_leakage,z_residual,degree,2,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,100.0,1.255838724009511,512,263,512,0.1812099630623717,0.9644327767171846,0.4535419767392494
z_degree_to_cn_residual,cross_leakage,z_degree,cn_residual,2,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.3635706748858388,512,263,512,-0.07013231047242319,0.3440844926957285,0.02750797280798776
z_degree_to_degree,target_retention,z_degree,degree,2,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.1,0.6375753038971426,512,263,512,0.8797156084852977,0.42089946807230527,0.9919978215532912
z_cn_to_cn_residual,target_retention,z_cn,cn_residual,2,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.1,0.11477099608679582,512,263,512,0.90125751948704,0.08657884132376084,0.9658879109605719
