probe,role,representation,target,probe_seed,architecture,hyperparameter_candidates,selected_hyperparameter,validation_metric,train_count,valid_count,test_count,r2,mae,spearman
z_cn_to_degree,cross_leakage,z_cn,degree,0,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.9662410148808965,512,263,512,0.38398181595208924,0.8463365925818851,0.716700667005127
z_residual_to_degree,cross_leakage,z_residual,degree,0,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,100.0,1.1795263627871666,512,263,512,0.046401586723424315,0.9926216390435757,0.34539275932454205
z_degree_to_cn_residual,cross_leakage,z_degree,cn_residual,0,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,10.0,0.36980922834967,512,263,512,0.014735629973036457,0.3345478449044994,0.039425133539505205
z_degree_to_degree,target_retention,z_degree,degree,0,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.6385590670256927,512,263,512,0.8785587389410807,0.42276275220239345,0.9927909769784699
z_cn_to_cn_residual,target_retention,z_cn,cn_residual,0,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.11434081674658858,512,263,512,0.9039676315823397,0.089487688236519,0.9647782220533772
z_cn_to_degree,cross_leakage,z_cn,degree,1,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.9662410148808965,512,263,512,0.38398181595208924,0.8463365925818851,0.716700667005127
z_residual_to_degree,cross_leakage,z_residual,degree,1,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,100.0,1.1795263627871666,512,263,512,0.046401586723424315,0.9926216390435757,0.34539275932454205
z_degree_to_cn_residual,cross_leakage,z_degree,cn_residual,1,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,10.0,0.36980922834967,512,263,512,0.014735629973036457,0.3345478449044994,0.039425133539505205
z_degree_to_degree,target_retention,z_degree,degree,1,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.6385590670256927,512,263,512,0.8785587389410807,0.42276275220239345,0.9927909769784699
z_cn_to_cn_residual,target_retention,z_cn,cn_residual,1,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.11434081674658858,512,263,512,0.9039676315823397,0.089487688236519,0.9647782220533772
z_cn_to_degree,cross_leakage,z_cn,degree,2,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.9662410148808965,512,263,512,0.38398181595208924,0.8463365925818851,0.716700667005127
z_residual_to_degree,cross_leakage,z_residual,degree,2,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,100.0,1.1795263627871666,512,263,512,0.046401586723424315,0.9926216390435757,0.34539275932454205
z_degree_to_cn_residual,cross_leakage,z_degree,cn_residual,2,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,10.0,0.36980922834967,512,263,512,0.014735629973036457,0.3345478449044994,0.039425133539505205
z_degree_to_degree,target_retention,z_degree,degree,2,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.6385590670256927,512,263,512,0.8785587389410807,0.42276275220239345,0.9927909769784699
z_cn_to_cn_residual,target_retention,z_cn,cn_residual,2,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.11434081674658858,512,263,512,0.9039676315823397,0.089487688236519,0.9647782220533772
