probe,role,representation,target,probe_seed,architecture,hyperparameter_candidates,selected_hyperparameter,validation_metric,train_count,valid_count,test_count,r2,mae,spearman
z_cn_to_degree,cross_leakage,z_cn,degree,0,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,10.0,0.49084024671006976,32,4,9,-0.21297578211646084,0.9024814789858705,0.7679393254530388
z_residual_to_degree,cross_leakage,z_residual,degree,0,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.1,0.8899485232292689,32,4,9,-0.5466293976310383,1.0402834505621217,0.5210268002259312
z_degree_to_cn_residual,cross_leakage,z_degree,cn_residual,0,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,100.0,0.4262440462457199,32,4,9,-7.593492687585799,0.48244214315209644,0.17647058823529413
z_degree_to_degree,target_retention,z_degree,degree,0,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,10.0,0.651742203384794,32,4,9,-13.887527462738566,1.8094890186921109,0.49152542372881364
z_cn_to_cn_residual,target_retention,z_cn,cn_residual,0,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.11613509600052575,32,4,9,0.2533987742465986,0.1457386168324149,0.6302521008403362
z_cn_to_degree,cross_leakage,z_cn,degree,1,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,10.0,0.49084024671006976,32,4,9,-0.21297578211646084,0.9024814789858705,0.7679393254530388
z_residual_to_degree,cross_leakage,z_residual,degree,1,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.1,0.8899485232292689,32,4,9,-0.5466293976310383,1.0402834505621217,0.5210268002259312
z_degree_to_cn_residual,cross_leakage,z_degree,cn_residual,1,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,100.0,0.4262440462457199,32,4,9,-7.593492687585799,0.48244214315209644,0.17647058823529413
z_degree_to_degree,target_retention,z_degree,degree,1,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,10.0,0.651742203384794,32,4,9,-13.887527462738566,1.8094890186921109,0.49152542372881364
z_cn_to_cn_residual,target_retention,z_cn,cn_residual,1,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.11613509600052575,32,4,9,0.2533987742465986,0.1457386168324149,0.6302521008403362
z_cn_to_degree,cross_leakage,z_cn,degree,2,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,10.0,0.49084024671006976,32,4,9,-0.21297578211646084,0.9024814789858705,0.7679393254530388
z_residual_to_degree,cross_leakage,z_residual,degree,2,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.1,0.8899485232292689,32,4,9,-0.5466293976310383,1.0402834505621217,0.5210268002259312
z_degree_to_cn_residual,cross_leakage,z_degree,cn_residual,2,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,100.0,0.4262440462457199,32,4,9,-7.593492687585799,0.48244214315209644,0.17647058823529413
z_degree_to_degree,target_retention,z_degree,degree,2,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,10.0,0.651742203384794,32,4,9,-13.887527462738566,1.8094890186921109,0.49152542372881364
z_cn_to_cn_residual,target_retention,z_cn,cn_residual,2,StandardScaler+Ridge,0.01;0.1;1.0;10.0;100.0,0.01,0.11613509600052575,32,4,9,0.2533987742465986,0.1457386168324149,0.6302521008403362
